AAVDB,NCT Number,Title,Drug ID,Status,No of pts,Vector,Safety met,Efficacy met,Administration Therapeutic route ,Administration Therapeutic Area,Phases,Primary Completion
1,NCT02341807,Safety and Dose Escalation Study of AAV2-hCHM in Subjects With CHM (Choroideremia) Gene Mutations,SPK-7001,"Active, not recruiting",10,AAV2,Yes,No,Subretinal,Ophthalmology,Phase 1/2,1/10/2019
3,NCT02396342,Trial of AAV5-hFIX in Severe or Moderately Severe Hemophilia B,AMT-061,"Active, not recruiting",10,AAV5,Yes,Yes,Intravenous,Hematology,Phase 1/2,1/5/2021
4,NCT01637805,Clinical Safety and Preliminary Efficacy of AAV-DC-CTL Treatment in Stage IV Gastric Cancer,NA,Unknown status,20,NA,,,NA,Oncology,Phase 1,1/10/2016
6,NCT03496012,Efficacy and Safety of AAV2-REP1 for the Treatment of Choroideremia,BIIB-111,Recruiting,14,AAV2,Yes,Yes,Subretinal,Ophthalmology,Phase 3,31/03/2020
7,NCT03252847,Gene Therapy for X-linked Retinitis Pigmentosa (XLRP) Retinitis Pigmentosa GTPase Regulator (RPGR),A-004,Recruiting,36,AAV2,NA,NA,NA,Ophthalmology,??,1/11/2020
9,NCT03758404,Gene Therapy for Achromatopsia (CNGA3),A-003,Recruiting,18,AAV2,NA,NA,NA,Ophthalmology,Phase 1/2,1/5/2021
10,NCT02418598,AADC Gene Therapy for Parkinson?s Disease,AAV-hAADC-2,Terminated,2,AAV2,NA,NA,Intracranial,Neurology,Phase 1/2,31/03/2018
11,NCT03533673,AAV2/8-LSPhGAA in Late-Onset Pompe Disease,ACTUS-101,Recruiting,6,AAV2/8,NA,NA,Intravenous,Metabolic,Phase 1/2,1/12/2019
12,NCT03374202,"VRC 603: A Phase I Dose-Escalation Study of the Safety of AAV8-VRC07 (VRC-HIVAAV07000-GT) Recombinant AAV Vector Expressing VRC07 HIV-1 Neutralizing Antibody in Antiretroviral -Treated, HIV-1 Infected Adults With Controlled Viremia.",AA8-VRC07,Recruiting,25,AAV8,NA,NA,Intravenous,Virology,Phase 1,1/1/2020
13,NCT03001310,Gene Therapy for Achromatopsia (CNGB3),A-002,Recruiting,27,AAV2/8,Yes,NA,Subretinal,Ophthalmology,Phase 1/2,1/2/2019
14,NCT03770572,Gene Transfer Study of AAV9-CLN3 for Treatment NCL Type 3,AAV9-CLN3,Recruiting,7,AAV9,NA,NA,Intrathecal,Neurology,Phase 1/2,1/12/2022
16,NCT01621581,AAV2-GDNF for Advanced Parkinson?s Disease,AMT-090,"Active, not recruiting",13,AAV2,Yes,Yes,Intracranial,Neurology,Phase 1,1/1/2022
17,NCT02240407,Re-administration of Intramuscular AAV9 in Patients With Late-Onset Pompe Disease,rAAV9-DES- hGAA ,Recruiting,7,AAV9,NA,NA,Intramuscular,Metabolic,Phase 1,1/12/2019
18,NCT00229736,A Study of AAV-hAADC-2 in Subjects With Parkinson?s Disease,VYAADC-01,Completed,10,AAV1,Yes,Yes but comparable to placebo in other studies,Intracranial,Neurology,Phase 1,1/3/2013
19,NCT04043104,"A Phase 1/2 Open-Label, Dose Escalation Study to Determine the Optimal Dose, Safety, and Activity of AAV2hAQP1 in Subjects With Radiation-Induced Parotid Gland Hypofunction and Xerostomia",A-00X,"Active, not recruiting",15,AAV2,NA,NA,Intrasalivary,Gastrointestinal,Phase 1/2,1/12/2021
